"","sp","lon","lat"
"257","Ameerega_flavopicta",-50.497529,-6.154597
"258","Ameerega_flavopicta",-48.95,-15.85
"259","Ameerega_flavopicta",-48.335,-14.159444
"260","Ameerega_flavopicta",-48.3467,-14.0406
"261","Ameerega_flavopicta",-43.583333,-19.283333
"262","Ameerega_flavopicta",-43.644168,-19.190106
"263","Ameerega_flavopicta",-47.814357,-12.696837
"264","Ameerega_flavopicta",-46.514721,-20.187691
"265","Ameerega_flavopicta",-46.365556,-20.245556
"266","Ameerega_hahneli",-65.3298552,-3.703207278
"267","Ameerega_hahneli",-59.659722,-3.521944
"268","Ameerega_hahneli",-69.682858,-4.369246
"269","Ameerega_hahneli",-59.820348,-3.526733
"270","Ameerega_hahneli",-62.1333,-3.7
"271","Ameerega_hahneli",-62.533333,-3.483333
"272","Ameerega_hahneli",-62.7575,-3.2631
"273","Ameerega_hahneli",-63.0936,-3.0925
"274","Ameerega_hahneli",-72.768863,-7.975133
"275","Ameerega_hahneli",-72.669722,-7.631111
"276","Ameerega_hahneli",-55.9211,-1.3058
"277","Ameerega_hahneli",-70.22036622,-7.022017506
"278","Ameerega_hahneli",-57.30414544,-7.445235775
"279","Ameerega_hahneli",-52.219681,-0.579694
"280","Ameerega_hahneli",-60.025,-3.101944
"281","Ameerega_hahneli",-64.6167,-2.4833
"282","Ameerega_hahneli",-49.117778,-5.368611
"283","Ameerega_hahneli",-72.214636,-9.162616
"284","Ameerega_hahneli",-72.562131,-9.095838
"285","Ameerega_hahneli",-54.365466,-1.120334
"287","Ameerega_hahneli",-68.9167,-7.75
"288","Ameerega_hahneli",-72.73734917,-8.491342499
"289","Ameerega_hahneli",-59.5,-1.5
"290","Ameerega_hahneli",-68.37185214,-10.06457714
"291","Ameerega_hahneli",-67.809722,-9.974722
"292","Ameerega_hahneli",-69.617456,-4.70845
"293","Ameerega_hahneli",-67.735601,-10.161492
"303","Ameerega_trivittata",-52.077284,-3.342839
"304","Ameerega_trivittata",-51.65,-3.45
"305","Ameerega_trivittata",-51.666667,-3.45
"306","Ameerega_trivittata",-56.493568,-3.771418
"307","Ameerega_trivittata",-48.633927,-1.498674
"308","Ameerega_trivittata",-48.459264,-1.240215
"309","Ameerega_trivittata",-70.274347,-5.419285
"310","Ameerega_trivittata",-65.5,-4.983333
"311","Ameerega_trivittata",-64.12514624,-4.437789159
"313","Ameerega_trivittata",-72.669722,-7.631111
"314","Ameerega_trivittata",-55.51,-1.85
"315","Ameerega_trivittata",-55.674068,-0.176534
"316","Ameerega_trivittata",-55.516667,-0.95
"317","Ameerega_trivittata",-43.079184,-7.004729
"318","Ameerega_trivittata",-62.883333,-7.066667
"319","Ameerega_trivittata",-56.283333,-4.466667
"320","Ameerega_trivittata",-56.533333,-4.666667
"321","Ameerega_trivittata",-56.769225,-4.380311
"322","Ameerega_trivittata",-56.219862,-2.622299
"323","Ameerega_trivittata",-56.152778,-2.609444
"324","Ameerega_trivittata",-56.000833,-2.469444
"325","Ameerega_trivittata",-69.182778,-5.639167
"326","Ameerega_trivittata",-69.316667,-5.219444
"327","Ameerega_trivittata",-60.025,-3.101944
"329","Ameerega_trivittata",-73.68333333,-7.483333333
"330","Ameerega_trivittata",-73.66111111,-7.431666667
"331","Ameerega_trivittata",-73.68277778,-7.362777778
"332","Ameerega_trivittata",-73.68333333,-7.466666667
"333","Ameerega_trivittata",-73.77444444,-7.458888889
"334","Ameerega_trivittata",-65.033411,-2.433527
"335","Ameerega_trivittata",-72.7167,-8.9839
"336","Ameerega_trivittata",-58.043256,-4.6911
"337","Ameerega_trivittata",-54.364994,-1.119981
"338","Ameerega_trivittata",-49.524444,-4.371111
"339","Ameerega_trivittata",-56.691864,-1.137827
"340","Ameerega_trivittata",-56.819658,0.991047
"341","Ameerega_trivittata",-47.601185,-3.204055
"342","Ameerega_trivittata",-51.672103,-1.95407
"343","Ameerega_trivittata",-64.974361,-9.540918
"344","Ameerega_trivittata",-61.09147,-12.92534
"345","Ameerega_trivittata",-68.371294,-10.064194
"346","Ameerega_trivittata",-67.809722,-9.974722
"347","Ameerega_trivittata",-48.283333,-1.2
"348","Ameerega_trivittata",-67.616667,-10.066667
"349","Ameerega_trivittata",-69.938056,-4.2525
"350","Ameerega_trivittata",-65.529938,-4.470055
"351","Ameerega_trivittata",-56.516667,-1.95
"352","Ameerega_trivittata",-49.820743,-3.854261
"353","Ameerega_trivittata",-51.75,-3.4
"370","Aparasphenodon_brunoi",-44.2,-22.933333
"371","Aparasphenodon_brunoi",-40.17586,-19.766469
"372","Aparasphenodon_brunoi",-41.683333,-22.283333
"373","Aparasphenodon_brunoi",-40.45,-20.583333
"374","Aparasphenodon_brunoi",-40.007791,-18.108921
"375","Aparasphenodon_brunoi",-40.027948,-19.380555
"376","Aparasphenodon_brunoi",-43.028889,-22.575833
"377","Aparasphenodon_brunoi",-43.991818,-23.066697
"378","Aparasphenodon_brunoi",-43.9462184,-23.0574174
"379","Aparasphenodon_brunoi",-42.81014,-22.919725
"381","Aparasphenodon_brunoi",-42.551706,-19.678756
"383","Aparasphenodon_brunoi",-40.966667,-21.25
"384","Aparasphenodon_brunoi",-43.533333,-23.05
"385","Aparasphenodon_brunoi",-43.449881,-22.921177
"386","Aparasphenodon_brunoi",-43.2075,-22.903056
"387","Aparasphenodon_brunoi",-40.097778,-19.196944
"388","Aparasphenodon_brunoi",-45.120381,-23.496295
"390","Aparasphenodon_brunoi",-39.083333,-15.3
"391","Aparasphenodon_brunoi",-40.292222,-20.329722
"392","Aparasphenodon_brunoi",-40.3,-20.266667
"437","Aplastodiscus_ehrhardti",-48.980556,-27.691944
"438","Aplastodiscus_ehrhardti",-49.084722,-27.999722
"439","Aplastodiscus_ehrhardti",-49.133056,-27.899722
"440","Aplastodiscus_ehrhardti",-49.091111,-27.0725
"441","Aplastodiscus_ehrhardti",-49.252778,-26.181389
"442","Aplastodiscus_ehrhardti",-49.243056,-26.425833
"443","Aplastodiscus_ehrhardti",-48.902222,-25.874167
"444","Aplastodiscus_ehrhardti",-49.03,-26.191111
"445","Aplastodiscus_ehrhardti",-45.461667,-22.808333
"446","Aplastodiscus_ehrhardti",-48.816667,-27.716667
"447","Aplastodiscus_ehrhardti",-48.778333,-27.688056
"448","Aplastodiscus_ehrhardti",-49.311944,-26.312222
"449","Aplastodiscus_ehrhardti",-49.059722,-25.6875
"473","Aplastodiscus_perviridis",-52.45,-26.566667
"474","Aplastodiscus_perviridis",-48.916667,-27.733333
"475","Aplastodiscus_perviridis",-51.13,-27.689167
"476","Aplastodiscus_perviridis",-49.084722,-27.999722
"477","Aplastodiscus_perviridis",-46.549722,-23.110278
"478","Aplastodiscus_perviridis",-48.445,-22.886667
