"","x"
"209","Saltator similis"
"210","Schistochlamys ruficapillus"
"211","Sclerurus scansor"
"212","Scytalopus speluncae"
"213","Selenidera maculirostris"
"214","Serpophaga subcristata"
"215","Sicalis flaveola"
"216","Sittasomus griseicapillus"
"217","Sporophila caerulescens"
"218","Sporophila falcirostris"
"219","Sporophila frontalis"
"220","Sporophila melanogaster"
"221","Stephanophorus diadematus"
"222","Stephanoxis lalandi"
"223","Streptoprocne biscutata"
"224","Streptoprocne zonaris"
"225","Strix hylophila"
"226","Synallaxis cinerascens"
"227","Synallaxis ruficapilla"
"228","Synallaxis spixi"
"229","Syndactyla rufosuperciliata"
"230","Tachuris rubrigastra"
"231","Tachyphonus coronatus"
"232","Tangara cyanocephala"
"233","Tangara cyanoventris"
"234","Tangara desmaresti"
"235","Tangara fastuosa"
"236","Tangara peruviana"
"237","Tangara seledon"
"238","Terenura maculata"
"239","Terenura sicki"
"240","Thalurania glaucopis"
"241","Thalurania watertonii"
"242","Thamnophilus caerulescens"
"243","Thamnophilus ruficapillus"
"244","Thlypopsis sordida"
"245","Thraupis cyanoptera"
"246","Thraupis ornata"
"247","Thripophaga macroura"
"248","Thryothorus longirostris"
"249","Tiaris fuliginosus"
"250","Tijuca atra"
"251","Tijuca condita"
"252","Tinamus solitarius"
"253","Todirostrum poliocephalum"
"254","Tolmomyias sulphurescens"
"255","Touit melanonotus"
"256","Touit surdus"
"257","Trichothraupis melanops"
"258","Triclaria malachitacea"
"259","Trogon rufus"
"260","Trogon surrucura"
"261","Turdus albicollis"
"262","Turdus fumigatus"
"263","Turdus rufiventris"
"264","Tyrannus melancholicus"
"265","Tyrannus savana"
"266","Veniliornis maculifrons"
"267","Veniliornis spilogaster"
"268","Xanthopsar flavus"
"269","Xenops minutus"
"270","Xenops rutilans"
"271","Xiphorhynchus fuscus"
"272","Xolmis dominicanus"
"273","Zenaida auriculata"
"274","Zonotrichia capensis"
