Especies,lat,lon
Allobates_caeruleodactylus,-3.61983,-60.000162
Allobates_caeruleodactylus,-5.605115,-61.475448
Allobates_conspicuus,-11.99,-71.72
Allobates_conspicuus,-8.8753,-72.7819
Allobates_crombiei,-3.65039,-52.383734
Allobates_femoralis,-3.203333,-52.206389
Allobates_femoralis,-3.1491,-54.8403
Allobates_femoralis,-9.026111,-67.236667
Allobates_femoralis,-11.016111,-68.748056
Allobates_femoralis,-7.631111,-72.669722
Allobates_femoralis,-7.63111,-72.67
Allobates_femoralis,1.090927,-53.302214
Allobates_femoralis,-3.101944,-60.025
Allobates_femoralis,-9.520401,-65.356036
Allobates_femoralis,-9.641771,-64.886911
Allobates_femoralis,-9.588139,-65.361092
Allobates_femoralis,-8.76194,-63.9039
Allobates_femoralis,-8.7619,-63.9039
Allobates_femoralis,-9.974722,-67.809722
Allobates_flaviventris,-9.895833333,-67.30411111
Allobates_flaviventris,-11.036242,-68.77987
Allobates_flaviventris,-10.06457714,-68.37185214
Allobates_fuscellus,-6.833721,-70.750484
Allobates_fuscellus,-6.583722,-68.900478
Allobates_fuscellus,-6.467055,-68.767144
Allobates_fuscellus,-8.667055,-72.783825
Allobates_fuscellus,-8.367055,-72.817158
Allobates_gasconi,-6.750387,-70.850484
Allobates_gasconi,-6.583722,-68.900478
Allobates_gasconi,-6.467055,-68.767144
Allobates_gasconi,-3.317049,-66.017132
Allobates_gasconi,-8.367055,-72.817158
Allobates_goianus,-14.0833,-47.4667
Allobates_goianus,-14.218,-47.405
Allobates_goianus,-16.638,-48.658
Allobates_grillisimilis,-4.434166667,-59.62361111
Allobates_grillisimilis,-3.947222222,-58.44333333
Allobates_grillisimilis,-3.918611111,-58.40527778
Allobates_grillisimilis,-3.874444444,-59.04611111
Allobates_marchesianus,-0.132222,-68.550833
Allobates_masniger,-4.462614,-56.285144
Allobates_masniger,-4.656039,-56.444282
Allobates_masniger,-4.283724,-55.317084
Allobates_nidicola,-4.434556,-59.62405
Allobates_nidicola,-3.534189,-59.795725
Allobates_nidicola,-3.61983,-60.000162
Allobates_nidicola,-8.810556,-64.095278
Allobates_nidicola,-5.150278,-60.346667
Allobates_nidicola,-9.286667,-64.744444
Allobates_nidicola,-9.158889,-64.633889
Allobates_olfersioides,-23,-44.316666
Allobates_olfersioides,-22.866666,-42.333333
Allobates_olfersioides,-22.5,-43.616667
Allobates_olfersioides,-22.931111,-43.089722
Allobates_olfersioides,-22.433333,-42.483334
Allobates_olfersioides,-22.8,-43.533333
Allobates_olfersioides,-22.55,-43.433333
Allobates_olfersioides,-22.7,-42.616666
Allobates_olfersioides,-23,-43.65
Allobates_olfersioides,-22.916667,-43.416667
Allobates_olfersioides,-22.8,-43.683333
Allobates_paleovarzensis,-3.374274,-59.868772
Allobates_subfolionidificans,-9.950398,-67.950478
Allobates_sumtuosus,-2.916667,-59.883333
Allobates_sumtuosus,-1.450729,-56.382823
Allobates_sumtuosus,-1.37,-56.852222
Allobates_sumtuosus,0.952778,-59.928611
Allobates_vanzolinius,-6.467055,-68.767144
Allobates_vanzolinius,-3.317049,-66.017132
Allophryne_relicta,-14.58333333,-39.28333333
Allophryne_ruthveni,-10.054655,-56.370243
Allophryne_ruthveni,-4.61834,-55.47779
Allophryne_ruthveni,3.678304,-61.768888
Allophryne_ruthveni,-3.1167,-51.7
Allophryne_ruthveni,-6.424682,-50.085856
Allophryne_ruthveni,-6.22222,-57.7528
Allophryne_ruthveni,-10.144722,-61.9075
Allophryne_ruthveni,-7.65,-51.35
Allophryne_ruthveni,-9.592498,-56.686101
Allophryne_ruthveni,-8.75,-63.466667
Allophryne_ruthveni,-11.694722,-61.176944
Allophryne_ruthveni,1.650985,-52.270813
Amazophrynella_manaos,-3.099273,-59.969606
Amazophrynella_manaos,-3.093995,-59.974328
Amazophrynella_manaos,-2.927327,-59.970995
Amazophrynella_manaos,-2.589271,-60.115718
Amazophrynella_manaos,-2.724549,-60.406552
Amazophrynella_manaos,-1.939268,-60.037661
Amazophrynella_manaos,-0.716763,-60.173773
Amazophrynella_vote,-9.845772,-58.220048
Amazophrynella_vote,-9.841532,-61.71243
Amazophrynella_vote,-6.121073,-61.37995
Amazophrynella_vote,-8.746068,-60.695237
Amazophrynella_vote,-6.295878,-60.392631
Amazophrynella_vote,-9.179572,-60.631004
Amazophrynella_vote,-5.743005,-62.632813
Ameerega_berohoka,-16.34948542,-51.5848313
